employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,avg_training_score
8724,Technology,region_26,Bachelor's,m,sourcing,1,24,,1,77
74430,Engineering,region_4,Bachelor's,f,other,1,31,3,5,51
72255,Engineering,region_13,Bachelor's,m,other,1,31,1,4,47
38562,Engineering,region_2,Bachelor's,f,other,3,31,2,9,65
64486,Engineering,region_29,Bachelor's,m,sourcing,1,30,4,7,61
46232,Procurement,region_7,Bachelor's,m,sourcing,1,36,3,2,68
54542,Finance,region_2,Bachelor's,m,other,1,33,5,3,57
67269,Analytics,region_22,Bachelor's,m,sourcing,2,36,3,3,85
66174,Technology,region_7,Master's & above,m,other,1,51,4,11,75
76303,Technology,region_22,Bachelor's,m,sourcing,1,29,5,2,76
60245,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,40,5,12,50
42639,Sales & Marketing,region_17,Master's & above,m,sourcing,1,40,3,10,46
30963,Sales & Marketing,region_4,Master's & above,f,other,1,34,3,4,52
54055,Sales & Marketing,region_24,Bachelor's,m,other,1,37,3,10,82
42996,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,30,5,6,58
12737,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,31,4,4,47
27561,Operations,region_27,Bachelor's,f,sourcing,1,26,5,3,56
26622,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,40,5,6,50
31582,Procurement,region_7,Bachelor's,f,other,1,49,3,7,64
29793,Procurement,region_27,Bachelor's,m,other,1,27,2,5,65
72735,Sales & Marketing,region_9,Master's & above,m,sourcing,1,37,5,3,47
5677,Technology,region_17,Bachelor's,m,sourcing,1,25,,1,80
60889,Technology,region_29,Master's & above,m,sourcing,1,30,1,3,83
51498,Procurement,region_4,Master's & above,m,other,1,41,3,4,76
8566,Finance,region_20,Bachelor's,f,other,1,29,4,6,58
53151,Finance,region_20,Bachelor's,m,other,1,33,3,7,62
16203,Finance,region_17,Master's & above,m,sourcing,1,34,4,6,50
61083,Finance,region_13,Bachelor's,m,sourcing,1,34,3,3,87
74849,Finance,region_22,Bachelor's,m,other,1,52,1,10,61
